trip_distance,tpep_pickup_datetime,tpep_dropoff_datetime,total_amount,tolls_amount,tip_amount,store_and_fwd_flag,stop_time,start_time,region_name,postal_code,pickup_longitude,pickup_latitude,payment_type,passenger_count,mta_tax,longitude,latitude,improvement_surcharge,fare_amount,extra,dropoff_longitude,dropoff_latitude,city_name,all_day,VendorID,STATION_NAME,STATION,RatecodeID,REPORTTPYE,PeakWindDirection,MonthlyWetBulbTemp,MonthlyTotalSnowfall,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD,MonthlyTotalLiquidPrecip,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyMinimumTemp,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureTime,MonthlyMinSeaLevelPressureDate,MonthlyMeanTemp,MonthlyMaximumTemp,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureTime,MonthlyMaxSeaLevelPressureDate,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowDepth,MonthlyGreatestPrecipDate,MonthlyGreatestPrecip,MonthlyDewpointTemp,MonthlyDeptFromNormalPrecip,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyDeptFromNormalAverageTemp,MonthlyDaysWithLT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT1Snow,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT001Precip,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyAverageWindSpeed,MonthlyAverageRH,LONGITUDE,LATITUDE,HOURLYWindSpeed,HOURLYWindGustSpeed,HOURLYWindDirection,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYVISIBILITY,HOURLYStationPressure,HOURLYSeaLevelPressure,HOURLYSKYCONDITIONS,HOURLYRelativeHumidity,HOURLYPressureTendency,HOURLYPressureChange,HOURLYPrecip,HOURLYPRSENTWEATHERTYPE,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYAltimeterSetting,ELEVATION,DATE,DAILYWeather,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,DAILYSunset,DAILYSunrise,DAILYSnowfall,DAILYSnowDepth,DAILYPrecip,DAILYPeakWindSpeed,DAILYMinimumDryBulbTemp,DAILYMaximumDryBulbTemp,DAILYHeatingDegreeDays,DAILYDeptFromNormalAverageTemp,DAILYCoolingDegreeDays,DAILYAverageWindSpeed,DAILYAverageWetBulbTemp,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageRelativeHumidity,DAILYAverageDryBulbTemp,DAILYAverageDewPointTemp
1.10,2016-01-01 00:00:00,2016-01-01 00:00:00,8.8,0,0,N,None,None,None,None,-73.990371704101563,40.734695434570313,2,2,0.5,None,None,0.3,7.5,0.5,-73.981842041015625,40.732406616210937,None,None,2,NY CITY CENTRAL PARK NY US,WBAN:94728,1,FM-15,None,None,None,None,None,None,None,None,None,None,None,None,-9999,-9999,None,None,None,-9999,-9999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-73.9669,40.7889,5,None,VRB,36,2.4,10.00,29.91,30.06,OVC:08 37,51,8,None,0.00,None,25,-3.9,42,5.6,30.08,39.6,2016-01-01 00:51,None,None,None,2139,1220,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.90,2016-01-01 00:00:00,2016-01-01 00:00:00,19.3,0,0,N,None,None,None,None,-73.980781555175781,40.729911804199219,1,5,0.5,None,None,0.3,18,0.5,-73.944473266601563,40.716678619384766,None,None,2,NY CITY CENTRAL PARK NY US,WBAN:94728,1,FM-15,None,None,None,None,None,None,None,None,None,None,None,None,-9999,-9999,None,None,None,-9999,-9999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-73.9669,40.7889,5,None,VRB,36,2.4,10.00,29.91,30.06,OVC:08 37,51,8,None,0.00,None,25,-3.9,42,5.6,30.08,39.6,2016-01-01 00:51,None,None,None,2139,1220,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.54,2016-01-01 00:00:00,2016-01-01 00:00:00,34.3,0,0,N,None,None,None,None,-73.984550476074219,40.6795654296875,1,1,0.5,None,None,0.3,33,0.5,-73.950271606445313,40.788925170898438,None,None,2,NY CITY CENTRAL PARK NY US,WBAN:94728,1,FM-15,None,None,None,None,None,None,None,None,None,None,None,None,-9999,-9999,None,None,None,-9999,-9999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-73.9669,40.7889,5,None,VRB,36,2.4,10.00,29.91,30.06,OVC:08 37,51,8,None,0.00,None,25,-3.9,42,5.6,30.08,39.6,2016-01-01 00:51,None,None,None,2139,1220,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.75,2016-01-01 00:00:00,2016-01-01 00:00:00,17.3,0,0,N,None,None,None,None,-73.99346923828125,40.718990325927734,2,1,0.5,None,None,0.3,16.5,0,-73.962242126464844,40.657333374023437,None,None,2,NY CITY CENTRAL PARK NY US,WBAN:94728,1,FM-15,None,None,None,None,None,None,None,None,None,None,None,None,-9999,-9999,None,None,None,-9999,-9999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-73.9669,40.7889,5,None,VRB,36,2.4,10.00,29.91,30.06,OVC:08 37,51,8,None,0.00,None,25,-3.9,42,5.6,30.08,39.6,2016-01-01 00:51,None,None,None,2139,1220,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1.76,2016-01-01 00:00:00,2016-01-01 00:00:00,8.8,0,0,N,2016-12-31 00:00:00 | 2016-07-03 00:00:00,2016-01-01 00:00:00 | 2015-10-08 00:00:00,New York | New York,10022 | 10019,-73.960624694824219,40.781330108642578,2,3,0.5,-73.968 | -73.9844951,40.759 | 40.7632328,0.3,8,0,-73.977264404296875,40.758514404296875,New York | New York,2 | 2,2,NY CITY CENTRAL PARK NY US,WBAN:94728,1,FM-15,None,None,None,None,None,None,None,None,None,None,None,None,-9999,-9999,None,None,None,-9999,-9999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-73.9669,40.7889,5,None,VRB,36,2.4,10.00,29.91,30.06,OVC:08 37,51,8,None,0.00,None,25,-3.9,42,5.6,30.08,39.6,2016-01-01 00:51,None,None,None,2139,1220,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.52,2016-01-01 00:00:00,2016-01-01 00:18:30,20.3,0,0,N,None,None,None,None,-73.980117797851563,40.743049621582031,2,2,0.5,None,None,0.3,19,0.5,-73.913490295410156,40.763141632080078,None,None,2,NY CITY CENTRAL PARK NY US,WBAN:94728,1,FM-15,None,None,None,None,None,None,None,None,None,None,None,None,-9999,-9999,None,None,None,-9999,-9999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-73.9669,40.7889,5,None,VRB,36,2.4,10.00,29.91,30.06,OVC:08 37,51,8,None,0.00,None,25,-3.9,42,5.6,30.08,39.6,2016-01-01 00:51,None,None,None,2139,1220,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.45,2016-01-01 00:00:00,2016-01-01 00:26:45,27.3,0,0,N,None,None,None,None,-73.994056701660156,40.719989776611328,2,2,0.5,None,None,0.3,26,0.5,-73.966361999511719,40.789871215820313,None,None,2,NY CITY CENTRAL PARK NY US,WBAN:94728,1,FM-15,None,None,None,None,None,None,None,None,None,None,None,None,-9999,-9999,None,None,None,-9999,-9999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-73.9669,40.7889,5,None,VRB,36,2.4,10.00,29.91,30.06,OVC:08 37,51,8,None,0.00,None,25,-3.9,42,5.6,30.08,39.6,2016-01-01 00:51,None,None,None,2139,1220,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1.20,2016-01-01 00:00:01,2016-01-01 00:11:55,10.3,0,0,N,None,None,None,None,-73.979423522949219,40.744613647460938,2,1,0.5,None,None,0.3,9,0.5,-73.992034912109375,40.753944396972656,None,None,1,NY CITY CENTRAL PARK NY US,WBAN:94728,1,FM-15,None,None,None,None,None,None,None,None,None,None,None,None,-9999,-9999,None,None,None,-9999,-9999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-73.9669,40.7889,5,None,VRB,36,2.4,10.00,29.91,30.06,OVC:08 37,51,8,None,0.00,None,25,-3.9,42,5.6,30.08,39.6,2016-01-01 00:51,None,None,None,2139,1220,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.00,2016-01-01 00:00:02,2016-01-01 00:11:14,19.3,0,0,N,None,None,None,None,-73.947151184082031,40.791046142578125,2,1,0.5,None,None,0.3,18,0.5,-73.920768737792969,40.865577697753906,None,None,1,NY CITY CENTRAL PARK NY US,WBAN:94728,1,FM-15,None,None,None,None,None,None,None,None,None,None,None,None,-9999,-9999,None,None,None,-9999,-9999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-73.9669,40.7889,5,None,VRB,36,2.4,10.00,29.91,30.06,OVC:08 37,51,8,None,0.00,None,25,-3.9,42,5.6,30.08,39.6,2016-01-01 00:51,None,None,None,2139,1220,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.21,2016-01-01 00:00:02,2016-01-01 00:11:08,12.8,0,0,N,None,None,None,None,-73.998344421386719,40.723896026611328,2,1,0.5,None,None,0.3,11.5,0.5,-73.995849609375,40.688400268554688,None,None,2,NY CITY CENTRAL PARK NY US,WBAN:94728,1,FM-15,None,None,None,None,None,None,None,None,None,None,None,None,-9999,-9999,None,None,None,-9999,-9999,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-73.9669,40.7889,5,None,VRB,36,2.4,10.00,29.91,30.06,OVC:08 37,51,8,None,0.00,None,25,-3.9,42,5.6,30.08,39.6,2016-01-01 00:51,None,None,None,2139,1220,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
